N° du compte	Intitulé	Type de compte	A	V
1	COMPTES DE CAPITAUX	Racine	Décoché	Décoché
10	CAPITAL ET RESERVES	Racine	Décoché	Décoché
1010000000	Capital	Racine	Décoché	Décoché
1011000000	Capital souscrit - non appelé	Détail	Décoché	Décoché
1012000000	Capital souscrit - appelé, non versé	Détail	Décoché	Décoché
1013000000	Capital souscrit - appelé, versé	Racine	Décoché	Décoché
1013100000	Capital non amorti	Détail	Décoché	Décoché
1013200000	Capital amorti	Détail	Décoché	Décoché
1018000000	Capital souscrit soumis à des réglementations particulières	Détail	Décoché	Décoché
1040000000	Primes liées au capital social	Racine	Décoché	Décoché
1041000000	Primes d'émission	Détail	Décoché	Décoché
1042000000	Primes de fusion	Détail	Décoché	Décoché
1043000000	Primes d'apport	Détail	Décoché	Décoché
1044000000	Primes de conversion d'obligations en actions	Détail	Décoché	Décoché
1045000000	Bons de souscription d'actions	Détail	Décoché	Décoché
1050000000	Ecarts de réévaluation	Racine	Décoché	Décoché
1051000000	Réserve spéciale de réévaluation	Détail	Décoché	Décoché
1052000000	Ecart de réévaluation libre	Détail	Décoché	Décoché
1053000000	Réserve de réévaluation	Détail	Décoché	Décoché
1055000000	Ecarts de réévaluation (autres opérations légales)	Détail	Décoché	Décoché
1057000000	Autres écarts de réévaluation en France	Détail	Décoché	Décoché
1058000000	Autres écarts de réévaluation à l'étranger	Détail	Décoché	Décoché
1060000000	Réserves	Racine	Décoché	Décoché
1061000000	Réserve légale	Racine	Décoché	Décoché
1061100000	Réserve légale proprement dite	Détail	Décoché	Décoché
1061200000	Plus-values nettes à long terme	Détail	Décoché	Décoché
1062000000	Réserves indisponibles	Détail	Décoché	Décoché
1063000000	Réserves statutaires ou contractuelles	Détail	Décoché	Décoché
1064000000	Réserves réglementées	Racine	Décoché	Décoché
1064100000	Plus-values nettes à long terme	Détail	Décoché	Décoché
1064300000	Réserves consécutives à l'octroi de subventions d'investiss.	Détail	Décoché	Décoché
1064800000	Autres réserves réglementées	Détail	Décoché	Décoché
1068000000	Autres réserves	Racine	Décoché	Décoché
1068100000	Réserve de propre assureur	Détail	Décoché	Décoché
1068800000	Réserves diverses	Détail	Décoché	Décoché
1070000000	Ecart d'équivalence	Détail	Décoché	Décoché
1080000000	COMPTE DE L'EXPLOITA	Détail	Décoché	Décoché
